id,titulo,materia,tipoUso,cupos,poseedores
1,Don Quijote de la Mancha,Literatura,PDF,2,
2,La Teoría de la Relatividad,Física,PDF,1,
3,El Principito,Literatura,PDF,5,
4,Planet Earth: From Pole to Pole,Biología,Video,4,
5,TED Talk – The Power of Vulnerability,Psicología,Video,3,
6,Cosmos Una odisea del espacio,Astronomía,Video,1,
7,https://www.wikipedia.org,General,Enlace,5,
8,https://www.khanacademy.org,Matemáticas,Enlace,4,
9,https://ocw.mit.edu,Ingeniería,Enlace,2,
10,https://scholar.google.com,Investigación,Enlace,3,
11,1984,Literatura,PDF,2,
12,Introducción al Álgebra Lineal,Matemáticas,PDF,4,
13,Manual de Biomecánica,Kinesiología,PDF,3,
14,Anatomía Humana 1,Kinesiología,PDF,5,
15,Curso Java Básico,Programación,Video,4,
16,Guía de Estadística Aplicada,Estadística,PDF,3,
17,Atlas de Anatomía,Kinesiología,PDF,2,
18,Tutorial MATLAB,Ingeniería,Video,3,
19,Enlace PubMed,Investigación,Enlace,5,
20,Clases de Fisiología,Kinesiología,Video,4,
21,Manual de Terapia Manual,Kinesiología,PDF,2,
22,Fundamentos de Física,Física,PDF,3,
23,Química General I,Química,PDF,3,
24,Historia de Chile,Historia,PDF,4,
25,Psicología del Aprendizaje,Psicología,PDF,3,
